,category,year,value
0,Forest,1987,16.41841667
1,Agriculture,1987,12.32706667
2,Water,1987,12.04011667
3,Degraded,1987,12.02925
4,Bare,1987,12.02233333
5,Urban,1987,12.00875
6,Forest,2016,15.57545
7,Agriculture,2016,13.12536667
8,Water,2016,12.03145
9,Degraded,2016,12
10,Bare,2016,12.09526667
11,Urban,2016,12.0184
12,Forest,2017,15.65178333
13,Agriculture,2017,13.04321667
14,Water,2017,12.0273
15,Degraded,2017,12
16,Bare,2017,12.1075
17,Urban,2017,12.01613333
18,Forest,2018,15.51691667
19,Agriculture,2018,13.15928333
20,Water,2018,12.0562
21,Degraded,2018,12
22,Bare,2018,12.10093333
23,Urban,2018,12.0126
24,Forest,2019,14.83568333
25,Agriculture,2019,13.83715
26,Water,2019,12.05118333
27,Degraded,2019,12
28,Bare,2019,12.09715
29,Urban,2019,12.02476667
30,Forest,2020,14.25438333
31,Agriculture,2020,14.36896667
32,Water,2020,12.08475
33,Degraded,2020,12
34,Bare,2020,12.098
35,Urban,2020,12.03983333
36,Forest,2021,13.82223333
37,Agriculture,2021,14.74851667
38,Water,2021,12.07768333
39,Degraded,2021,12
40,Bare,2021,12.15043333
41,Urban,2021,12.04706667
42,Forest,2022,13.47066667
43,Agriculture,2022,14.60886667
44,Water,2022,12.02693333
45,Degraded,2022,12.57695
46,Bare,2022,12.14071667
47,Urban,2022,12.0218
